name;capital;continent;population;language;image
Moldova;Chișinău;Europe;2617820;Romanian;https://flagcdn.com/w320/md.png
United States;Washington, D.C.;Americas;329484123;English;https://flagcdn.com/w320/us.png
Croatia;Zagreb;Europe;4047200;Croatian;https://flagcdn.com/w320/hr.png
Romania;Bucharest;Europe;19286123;Romanian;https://flagcdn.com/w320/ro.png
Norway;Oslo;Europe;5379475;Norwegian Nynorsk;https://flagcdn.com/w320/no.png
Poland;Warsaw;Europe;37950802;Polish;https://flagcdn.com/w320/pl.png
Finland;Helsinki;Europe;5530719;Finnish;https://flagcdn.com/w320/fi.png
United Kingdom;London;Europe;67215293;English;https://flagcdn.com/w320/gb.png
Brazil;Brasília;Americas;212559409;Portuguese;https://flagcdn.com/w320/br.png
France;Paris;Europe;67391582;French;https://flagcdn.com/w320/fr.png
Spain;Madrid;Europe;47351567;Spanish;https://flagcdn.com/w320/es.png
Japan;Tokyo;Asia;125836021;Japanese;https://flagcdn.com/w320/jp.png